"","total_reads","n_contigs","assembly_length","N50","human_reads","Busco_M","Busco_C","Busco_F","Busco_CF"
"Myriapoda",NA,227034,254548461,1219,1.48,58.6,9.5,31.9,41.4
"Myriapoda",NA,95222,137468815,1713,0.849999999999994,28.4,35.7,35.9,71.6
"Myriapoda",NA,14713,11163455,712,0.319999999999993,99.9,0.1,0,0.1
"Myriapoda",NA,50661,53594824,1159,1.67,97.3,0.6,2.1,2.7
"Myriapoda",NA,46309,145312663,5307,0.930000000000007,10.2,80.4,9.4,89.8
"Myriapoda",NA,4,3063,657,29.98,NA,NA,NA,NA
"Myriapoda",NA,30504,24240184,714,1.20999999999999,95.7,0.6,3.7,4.3
"Collembola",NA,56560,184963726,6743,15.53,10.1,78.3,11.6,89.9
"Collembola",NA,36243,211418206,18662,0.459999999999994,5.9,90.9,3.2,94.1
"Collembola",NA,35974,137611220,8266,6.7,5,91.8,3.2,95
"Collembola",NA,66104,109364214,2091,10.95,18.9,59.3,21.8,81.1
"Collembola",NA,90265,126119791,1695,3.04000000000001,28.9,38.5,32.6,71.1
"Collembola",NA,301,204830,630,17.05,NA,NA,NA,NA
"Collembola",NA,107411,182710377,2356,1.08,17.2,60.8,22,82.8
"Collembola",NA,19548,116726678,16170,0.510000000000005,5.8,92.1,2.1,94.2
"Collembola",NA,92269,93173859,1068,0.280000000000001,58.5,10.8,30.7,41.5
"Collembola",NA,84522,225014258,4323,21.87,10.9,76.1,13,89.1
"Collembola",NA,142174,246139756,2377,36.62,17.4,59.4,23.2,82.6
"Collembola",NA,215388,231200925,1166,0.489999999999995,37.7,21.1,41.2,62.3
"Collembola",NA,153034,159168272,1081,2.19,83.2,3.7,13.1,16.8
"Collembola",NA,61373,211630476,7117,0.280000000000001,6.3,88.6,5.1,93.7
"Collembola",NA,95944,202725402,3692,0.290000000000006,15.6,64.9,19.5,84.4
"Oribatida",NA,68070,102286621,1868,5.05,11,84.4,4.6,89
"Oribatida",NA,44628,44323014,1048,5.06999999999999,54.1,33.3,12.6,45.9
"Oribatida",NA,23221,23012379,1021,16.35,85.9,8,6.1,14.1
"Oribatida",NA,37549,121464769,5431,5.48,6.7,91.6,1.7,93.3
"Enchytraeidae",NA,203341,146145560,694,3.11,97.5,0.2,2.3,2.5
"Enchytraeidae",NA,106794,105143682,1027,2.52,95.5,0.6,3.9,4.5
"Enchytraeidae",NA,255357,221774921,876,1.40000000000001,95.2,1.1,3.7,4.8
"Enchytraeidae",NA,261141,303976523,1298,1.47,94.1,0.8,5.1,5.9
"Enchytraeidae",NA,163977,136905756,842,3.70999999999999,93.6,0.7,5.7,6.4
"Enchytraeidae",NA,155,123847,840,1.16,NA,NA,NA,NA
"Enchytraeidae",NA,112058,88349192,771,3.75,98.5,0.3,1.2,1.5
"Enchytraeidae",NA,282728,355848184,1424,4.02,68.2,6.2,25.6,31.8
"Enchytraeidae",NA,151890,117400203,755,3.63,97.8,0.3,1.9,2.2
"Enchytraeidae",NA,217185,243326035,1221,4.40000000000001,89.9,1.7,8.4,10.1
"Enchytraeidae",NA,176829,140352900,786,3.34,92.9,0.8,6.3,7.1
"Enchytraeidae",NA,1,622,622,4.43000000000001,NA,NA,NA,NA
"Oribatida",NA,49758,92434430,2550,10,7.3,89.7,3,92.7
"Acari",NA,901,662118,686,39.8,100,0,0,0
"Oribatida",NA,30866,128642992,8019,16.63,6.6,92.1,1.3,93.4
"Oribatida",NA,62755,165258384,4763,4.73999999999999,6.7,91.2,2.1,93.3
"Oribatida",NA,55821,126174002,4501,3.87,7.3,89.5,3.2,92.7
"Oribatida",NA,27152,23278273,854,28.87,51.6,36.6,11.8,48.4
"Oribatida",NA,54867,131031899,3970,13.17,9.7,86.2,4.1,90.3
"Oribatida",NA,57222,104571370,2803,2.64,9,87.5,3.5,91
"Oribatida",NA,14205,78017758,15393,10.87,8.4,90.3,1.3,91.6
"Oribatida",NA,25818,21893836,824,7.84,66.5,21.6,11.9,33.5
"Oribatida",NA,357,262414,684,43.16,100,0,0,0
"Myriapoda",NA,236754,225161132,956,0.930000000000007,87.7,4.2,8.1,12.3
"Collembola",NA,89135,207418685,4354,0.590000000000003,11.1,71.1,17.8,88.9
"Collembola",NA,74315,155004536,3360,1.79000000000001,8.6,81.4,10,91.4
"Collembola",NA,1604,1222518,710,40.67,NA,NA,NA,NA
"Collembola",NA,124024,180669585,1860,1.09,20.8,47.1,32.1,79.2
"Oribatida",NA,65420,69256325,1137,6.92,32.2,56,11.8,67.8
"Oribatida",NA,56879,92657962,2087,5.54000000000001,10.7,84.5,4.8,89.3
"Collembola",NA,568,384606,636,49.86,100,0,0,0
"Collembola",NA,223680,363340845,2216,0.640000000000001,13.8,63.6,22.6,86.2
"Collembola",NA,48504,300342530,15657,1.61,5.9,90.9,3.2,94.1
"Collembola",NA,130710,351161845,7950,1.01000000000001,8.1,85.5,6.4,91.9
"Collembola",NA,119,80505,616,71.77,100,0,0,0
"Tardigrada",87342988,197710,268004252,1663,0.450000000000003,NA,NA,NA,NA
"Tardigrada",78819085,205427,242656155,1361,0.629999999999995,NA,NA,NA,NA
"Tardigrada",85632034,135572,344537663,5411,0.299999999999997,NA,NA,NA,NA
"Tardigrada",78326641,176448,306617766,2436,2.3,NA,NA,NA,NA
"Tardigrada",81780470,126815,328674564,5100,0.239999999999995,NA,NA,NA,NA
"Collembola",88378376,45596,224082623,12710,0.310000000000002,3.5,94.2,2.3,96.5
"Nematoda",76904200,66468,132026485,3184,0.019999999999996,40.2,53.5,6.3,59.8
"Nematoda",75348976,43929,161576369,9917,0.0400000000000063,17.3,79.9,2.8,82.7
"Collembola",96225899,72726,157463041,3540,0.170000000000002,11,77.9,11.1,89
"Collembola",80046414,70497,154536044,3645,0.150000000000006,9.1,78.4,12.5,90.9
"Collembola",83950245,64234,214447873,8459,0.329999999999998,11.6,74.4,14,88.4
"Collembola",80168442,76456,217941372,5979,0.200000000000003,13.2,72.6,14.2,86.8
"Oribatida",88448549,52459,94480331,2443,23.25,14.9,76.6,8.5,85.1
